"hz","date","epi_year","epi_week","day","r_mean","r_se","r_lci","r_uci","cases"
"Kalunguta",2018-09-03,2018,35,29,NA,NA,NA,NA,0
"Kalunguta",2018-09-10,2018,36,36,NA,NA,NA,NA,0
"Kalunguta",2018-09-17,2018,37,43,NA,NA,NA,NA,0
"Kalunguta",2018-09-24,2018,38,50,NA,NA,NA,NA,0
"Kalunguta",2018-10-01,2018,39,57,NA,NA,NA,NA,0
"Kalunguta",2018-10-08,2018,40,64,NA,NA,NA,NA,1
"Kalunguta",2018-10-15,2018,41,71,NA,NA,NA,NA,4
"Kalunguta",2018-10-22,2018,42,78,0.746962517700084,0.171402001683911,0.416666666666667,1.08333333333333,7
"Kalunguta",2018-10-29,2018,43,85,0.457212839188452,0.145434874102501,0.166666666666667,0.75,11
"Kalunguta",2018-11-05,2018,44,92,0.458844155162861,0.311589756495148,0,1,10
"Kalunguta",2018-11-12,2018,45,99,0.550783952324165,0.261290461767784,0,1,4
"Kalunguta",2018-11-19,2018,46,106,0.718384574774302,0.533573238460854,0,2,4
"Kalunguta",2018-11-26,2018,47,113,1.030873216046,0.91806846117204,0,3,2
"Kalunguta",2018-12-03,2018,48,120,1.123265275276,0.415471766951526,0.333333333333333,2,1
"Kalunguta",2018-12-10,2018,49,127,0.914862000490525,0.88192493057308,0,3,3
"Kalunguta",2018-12-17,2018,50,134,0.301156975119825,0.173332305633868,0,0.6,1
"Kalunguta",2018-12-24,2018,51,141,NA,NA,NA,NA,5
"Kalunguta",2018-12-31,2018,52,148,NA,NA,NA,NA,0
"Kalunguta",2019-01-07,2019,1,155,NA,NA,NA,NA,1
"Kalunguta",2019-01-14,2019,2,162,NA,NA,NA,NA,0
"Kalunguta",2019-01-21,2019,3,169,NA,NA,NA,NA,0
"Kalunguta",2019-01-28,2019,4,176,NA,NA,NA,NA,1
"Kalunguta",2019-02-04,2019,5,183,NA,NA,NA,NA,1
"Kalunguta",2019-02-11,2019,6,190,NA,NA,NA,NA,0
"Kalunguta",2019-02-18,2019,7,197,NA,NA,NA,NA,1
"Kalunguta",2019-02-25,2019,8,204,0.817318023939525,0.326050022595412,0.333333333333333,1.33333333333333,1
"Kalunguta",2019-03-04,2019,9,211,NA,NA,NA,NA,3
"Kalunguta",2019-03-11,2019,10,218,NA,NA,NA,NA,0
"Kalunguta",2019-03-18,2019,11,225,NA,NA,NA,NA,0
"Kalunguta",2019-03-25,2019,12,232,NA,NA,NA,NA,0
"Kalunguta",2019-04-01,2019,13,239,NA,NA,NA,NA,1
"Kalunguta",2019-04-08,2019,14,246,2.44249815749302,0.632693133519248,1.25,3.75,2
"Kalunguta",2019-04-15,2019,15,253,1.78252499757535,0.25065105110392,1.36363636363636,2.27272727272727,2
"Kalunguta",2019-04-22,2019,16,260,1.38143701358501,0.292909939170609,0.8,1.9525,8
"Kalunguta",2019-04-29,2019,17,267,0.701915572752987,0.125920474506945,0.451190476190476,0.952380952380952,7
"Kalunguta",2019-05-06,2019,18,274,0.592829386028055,0.172347864131722,0.307692307692308,0.923076923076923,12
"Kalunguta",2019-05-13,2019,19,281,0.606613302894822,0.173757844530108,0.272727272727273,0.909090909090909,11
"Kalunguta",2019-05-20,2019,20,288,0.862522872962803,0.338401523611175,0.2,1.6,10
"Kalunguta",2019-05-27,2019,21,295,1.00803866689501,0.424786578500956,0.25,1.75,4
"Kalunguta",2019-06-03,2019,22,302,0.583134449007265,0.230208850130346,0.142857142857143,1.14285714285714,4
"Kalunguta",2019-06-10,2019,23,309,0.629498011540793,0.232492041892903,0.166666666666667,1,5
"Kalunguta",2019-06-17,2019,24,316,NA,NA,NA,NA,6
"Kalunguta",2019-06-24,2019,25,323,NA,NA,NA,NA,1
"Kalunguta",2019-07-01,2019,26,330,NA,NA,NA,NA,4
"Kalunguta",2019-07-08,2019,27,337,NA,NA,NA,NA,2
"Kalunguta",2019-07-15,2019,28,344,NA,NA,NA,NA,1
"Kalunguta",2019-07-22,2019,29,351,NA,NA,NA,NA,2
"Kalunguta",2019-07-29,2019,30,358,1.75166626890176,0.56921239929487,0.75,2.75,5
"Kalunguta",2019-08-05,2019,31,365,1.6236897526486,0.26227312905282,1.18181818181818,2.18181818181818,3
"Kalunguta",2019-08-12,2019,32,372,1.58510486011491,0.355941753551034,0.857142857142857,2.28571428571429,8
"Kalunguta",2019-08-19,2019,33,379,0.678753367834508,0.149411001250206,0.375,1,6
"Kalunguta",2019-08-26,2019,34,386,0.410320594797911,0.117009847807644,0.1875,0.625,13
"Kalunguta",2019-09-02,2019,35,393,0.286955159267824,0.19178491023142,0,0.666666666666667,16
"Kalunguta",2019-09-09,2019,36,400,0.253705523291853,0.158613383103343,0,0.5,5
"Kalunguta",2019-09-16,2019,37,407,0.492236705067307,0.614963706832723,0,2,6
"Kalunguta",2019-09-23,2019,38,414,0.492236705067307,0.614963706832723,0,2,0
"Kalunguta",2019-09-30,2019,39,421,NA,NA,NA,NA,1
"Kalunguta",2019-10-07,2019,40,428,NA,NA,NA,NA,0
"Kalunguta",2019-10-14,2019,41,NA,NA,NA,NA,NA,2
"Katwa",2018-08-13,2018,32,8,NA,NA,NA,NA,0
"Katwa",2018-08-20,2018,33,15,NA,NA,NA,NA,0
"Katwa",2018-08-27,2018,34,22,NA,NA,NA,NA,0
"Katwa",2018-09-03,2018,35,29,NA,NA,NA,NA,0
"Katwa",2018-09-10,2018,36,36,NA,NA,NA,NA,1
"Katwa",2018-09-17,2018,37,43,NA,NA,NA,NA,0
"Katwa",2018-09-24,2018,38,50,NA,NA,NA,NA,0
"Katwa",2018-10-01,2018,39,57,NA,NA,NA,NA,2
"Katwa",2018-10-08,2018,40,64,1.85468016091716,0.496767859883494,1,2.75,1
"Katwa",2018-10-15,2018,41,71,1.95857723199675,0.543055077902113,0.75,3,4
"Katwa",2018-10-22,2018,42,78,1.505429437963,0.461981616547733,0.695,2.4,4
"Katwa",2018-10-29,2018,43,85,1.51115662820156,0.276929268296579,1,2.1,2
"Katwa",2018-11-05,2018,44,92,1.34452040320032,0.625828331076289,0.333333333333333,2.66666666666667,10
"Katwa",2018-11-12,2018,45,99,1.20255255821569,0.190628172301867,0.8125,1.5625,2
"Katwa",2018-11-19,2018,46,106,1.22785177200353,0.432827411360393,0.5,2.16666666666667,16
"Katwa",2018-11-26,2018,47,113,1.07244726125402,0.194736924952305,0.6875,1.4375,5
"Katwa",2018-12-03,2018,48,120,0.958643562842087,0.217304967303533,0.538461538461538,1.38461538461538,15
"Katwa",2018-12-10,2018,49,127,1.12244968117676,0.227955798477393,0.642857142857143,1.57142857142857,10
"Katwa",2018-12-17,2018,50,134,1.51418667604305,0.379105449556937,0.875,2.375,13
"Katwa",2018-12-24,2018,51,141,1.8144743995742,0.319770699077333,1.27272727272727,2.45454545454545,8
"Katwa",2018-12-31,2018,52,148,1.45755181987092,0.22411860622746,1,1.88888888888889,11
"Katwa",2019-01-07,2019,1,155,1.09184257251447,0.124231332365504,0.852941176470588,1.35294117647059,12
"Katwa",2019-01-14,2019,2,162,0.808433150758799,0.122266005402787,0.5625,1.0625,25
"Katwa",2019-01-21,2019,3,169,0.703711825458534,0.135089806825927,0.461538461538462,0.961538461538462,28
"Katwa",2019-01-28,2019,4,176,0.80319950257506,0.160054349486601,0.5,1.1,25
"Katwa",2019-02-04,2019,5,183,0.910422915707141,0.226659445226228,0.428571428571429,1.39464285714286,17
"Katwa",2019-02-11,2019,6,190,0.967903881508523,0.185541366282693,0.647058823529412,1.35294117647059,13
"Katwa",2019-02-18,2019,7,197,1.18220338878224,0.244463289903464,0.714285714285714,1.71428571428571,16
"Katwa",2019-02-25,2019,8,204,1.5494314346412,0.247781331118997,1.0625,2.0625,12
"Katwa",2019-03-04,2019,9,211,1.64973325663147,0.278681758643721,1.06666666666667,2.2,14
"Katwa",2019-03-11,2019,10,218,1.56714993978306,0.182321248434781,1.23333333333333,1.93333333333333,12
"Katwa",2019-03-18,2019,11,225,1.6255149297527,0.208053386120502,1.23076923076923,2.03846153846154,27
"Katwa",2019-03-25,2019,12,232,1.41668495807817,0.16558828743961,1.08333333333333,1.77777777777778,23
